"FirstName","LastName","MemberNumber","CarNumber","Car","Class","Best","Best Indexed","ClassRank","IndexRank","OverallRank","Rookie","Run 1","Run 1 Pen","Run 2","Run 2 Pen","Run 3","Run 3 Pen","Run 4","Run 4 Pen","Run 5","Run 5 Pen","Run 6","Run 6 Pen","Run 7","Run 7 Pen","Run 8","Run 8 Pen","Run 9","Run 9 Pen"
"Shawn","Krebsbach","","221","2006 Mitsabishi Evo","Trackcross B","58.030","58.030","1","1","1","","74.725","RERUN","59.558","","58.646","","58.03","","66.574","DNF","58.739","DNF","57.956","DNF","59.075","DNF"
"Brandon","Cottrell","","403","2021 Toyota Supra","Trackcross A","58.223","58.223","1","2","2","","59.444","","59.782","","59.117","","58.911","","59.467","","58.223","","58.505",""
"Sean","Forthun","","190","2005 Mazda Rx8","Trackcross A","58.650","58.650","2","3","3","","64.548","","61.07","","60.389","","60.55","","60.193","","90.079","","58.65",""
"Piero","Pucci","","510","2013 Scion Frs","Trackcross E","59.486","59.486","1","4","4","","62.471","","60.453","","59.839","","59.486","","59.921","","59.863","","59.569",""
"Simon","Robins","","107","2004 Chevrolet Corvette Z06","Trackcross B","59.860","59.860","2","5","5","","65.322","","60.56","","59.86","","60.056",""
"Matthew","Sebelski","","707","2004 Chevrolet Corvette Z06","Trackcross B","60.278","60.278","3","6","6","","37.979","DNF","63.74","DNF","60.278",""
"Bernie","Kaeferlein","","421","2022 Toyota GR86","Trackcross E","60.381","60.381","2","7","7","","63.762","","61.418","","60.981","","60.381","","62.033","","61.679","","60.657",""
"Bryce","Allen","","19","2019 Porsche Cayman S","Trackcross C","60.734","60.734","1","8","8","","61.846","","61.141","DNF","61.135","","60.734","","61.597","","60.754","","61.233",""
"Vong","Moua","","797","2013 Subaru BRZ","Trackcross D","61.153","61.153","1","9","9","","68.923","","65.065","","63.084","","62.1","","83.441","RERUN","62.296","","61.285","","61.153",""
"Nick","Hiney","","423","2026 Toyota Supra","Trackcross D","61.697","61.697","2","10","10","","66.347","","64.063","","63.332","","62.814","","63.736","","62.974","","61.697",""
"Jake","Rogers","","990","2004 Mazda RX-8","Trackcross F","61.959","61.959","1","11","11","","63.869","","63.055","","62.078","","62.115","","64.096","DNF","62.489","","61.959",""
"Tyler","Salminen","","68","2015 Scion Fr-s","Trackcross E","62.237","62.237","3","12","12","","64.818","DNF","62.86","","67.551","DNF","62.185","DNF","62.789","","62.835","","62.237",""
"Bryan","Ganz","","741","2002 Chevrolet Corvette C5 Z06","Trackcross C","62.405","62.405","2","13","13","","64.024","","63.232","","63.115","","63.023","","63.254","","63.703","","62.405",""
"Chase","Malkow","","358","2005 Nissan 350z","Trackcross D","62.512","62.512","3","14","14","","68.13","","65.908","","64.85","","64.102","","63.197","","63.013","","62.512",""
"Tyler","Mack","","33","1984 Chevrolet Camaro","Trackcross B","62.550","62.550","4","15","15","","64.001","","63.74","","63.635","","62.615","","63.114","","62.55","","62.766",""
"Leigh","Collyer","","84","2013 Subaru WRX","Trackcross A","62.587","62.587","3","16","16","","66.428","","77.399","","113.673","OFF","66.381","","63.457","","63.495","","62.587",""
"Miguel","Torres","","711"," Chevrolet C8","Trackcross C","62.681","62.681","3","17","17","","65.529","","63.244","","62.879","","62.777","","66.859","","62.793","","62.681",""
