"FirstName","LastName","MemberNumber","CarNumber","Car","Class","Best","Best Indexed","ClassRank","IndexRank","OverallRank","Rookie","Run 1","Run 1 Pen","Run 2","Run 2 Pen","Run 3","Run 3 Pen","Run 4","Run 4 Pen","Run 5","Run 5 Pen","Run 6","Run 6 Pen","Run 7","Run 7 Pen"
"Johnathan","Gohde","","338"," Birkin Birkin","C2-DM","47.087","42.142","2","44","1","","47.677","","48.111","","47.087","","56.206","","54.691","","54.011","1"
"FELIPE","GONZALEZ","","50","1990 Mazda Miata","P-STS","48.145","38.997","2","2","2","","51.676","","49.722","","48.935","","49.543","","48.145","","48.353","1"
"Steven"," Buetow","","383","2000 Birkin S-3","C2-DM","48.508","43.414","4","61","3","","70.933","RERUN","48.025","DNF","48.508","","54.123","DNF","78.286","2","52.902","1","51.33","1"
"Jeffrey","Rye","","612","1991 Mazda Miata","P-STS","48.538","39.315","3","3","4","","51.5","","65.027","RERUN","49.819","","48.895","","50.45","","49.438","","48.538",""
"Adam","Barber","","59","1988 Honda CRX","P-STS","48.584","39.353","4","4","5","","49.807","1","57.851","RERUN 1","48.893","","48.8","1","49.146","2","48.951","1","48.584",""
"Michael","Waich","527","527","1989 Honda Civic Si","P-STS","48.809","39.535","5","5","6","","50.004","2","56.812","DNF","49.519","","49.525","","48.809","","49.068",""
"Matthew","Waich","MAC does not use these","752","1989 Honda Civic Si","P-STS","48.910","39.617","6","6","7","","51.745","","50.292","","50.184","","49.98","","48.998","","48.91",""
"Ivan","Austin","","73","2004 Toyota MR2","P-ES","48.933","38.510","1","1","8","","50.901","","50.065","","59.306","1","57.825","RERUN","49.588","","49.368","","48.933",""
"Ryan","Butz","","208","2018 Exomotive Exocet","EM","48.966","43.775","1","66","9","","51.45","3","49.984","","51.019","","70.773","DNF","50.083","","48.966",""
"Emilio","Rescigno","","146","2000 Honda S2000","P-STR","49.080","40.392","11","17","10","","50.922","1","50.554","","53.991","RERUN","49.08","","50.157","","50.578","1","50.392","DNF"
"Andy","Weigel","184","184","1968 Ford Mustang","P-CAMT","49.272","39.762","7","7","11","","51.609","","50.508","","50.058","","50.472","","50.157","","49.272",""
"John","Zeller","","49","2017 Mazda MX5","P-STR","49.312","40.583","14","22","12","","59.566","","52.374","DNF","52.406","","50.455","","49.312","","55.969","1"
"Joe","Brown","","555","2015 Subaru STi","Z-BS","49.430","39.939","2","9","13","","52.042","","50.923","","50.84","","50.66","","49.874","","49.43",""
"Adam","Mehl","","74","1990 Mazda Miata","Z-STS","49.515","40.107","3","11","14","","51.279","1","50.259","","49.515","","50.6","","50.102","1","50.142",""
"Charles","D'Cruz","280","280","2017 Exomotive Exocet Blue","EM","49.529","44.278","2","74","15","","51.344","1","53.451","","49.932","","51.333","","49.364","1","49.529",""
