"FirstName","LastName","MemberNumber","CarNumber","Car","Class","Best","Best Indexed","ClassRank","IndexRank","OverallRank","Rookie","Run 1","Run 1 Pen","Run 2","Run 2 Pen","Run 3","Run 3 Pen","Run 4","Run 4 Pen","Run 5","Run 5 Pen","Run 6","Run 6 Pen","Run 7","Run 7 Pen","Run 8","Run 8 Pen"
"Johnathan","Gohde","","338"," Birkin Birkin","C2-DM","47.909","42.878","3","54","1","","48.109","","48.664","1","48.367","","49.554","1","47.471","1","47.909",""
"Steven"," Buetow","","383","2000 Birkin S-3","C2-DM","48.232","43.167","5","61","2","","49.72","","48.232","","50.157","1","48.558","","55.551","DNF","47.662","DNF"
"Adam","Barber","","59","1988 Honda CRX","P-STS","48.267","39.096","2","2","3","","49.91","1","48.897","1","49.494","3","49.006","","48.267","","48.414",""
"Jeffrey","Rye","","612","1991 Mazda Miata","P-STS","48.290","39.114","3","3","4","","50.488","","49.479","1","49.201","","49.168","1","48.48","","48.29",""
"John","Zeller","","49","2017 Mazda MX5","P-STR","48.398","39.831","11","15","5","","100.569","RERUN 2","74.415","RERUN","56.07","","49.011","","48.788","1","48.901","","48.628","","48.398",""
"Emilio","Rescigno","","146","2000 Honda S2000","P-STR","48.420","39.849","12","16","6","","49.249","","49.687","DNF","48.968","","49.269","","48.42","","48.472",""
"FELIPE","GONZALEZ","","50","1990 Mazda Miata","P-STS","48.458","39.250","4","4","7","","49.16","","49.011","","49.459","","48.458","","48.369","2","48.046","2"
"Michael","Waich","527","527","1989 Honda Civic Si","P-STS","48.518","39.299","6","6","8","","49.163","2","49.008","","48.518","","48.893","","49.141","","48.625","1"
"Jay","McKoskey","","12","1991 Mazda Miata","P-STS","48.597","39.363","7","7","9","","50.309","","49.129","","49.118","","49.763","","48.992","","48.597",""
"Matt","Posey","","44","1991 Mazda Miata","P-STS","48.703","39.449","8","9","10","","49.943","3","49.638","","48.467","1","49.481","","48.703","","49.741","DNF"
"Matthew","Waich","MAC does not use these","752","1989 Honda Civic Si","P-STS","48.859","39.575","9","11","11","","50.872","1","48.859","","48.917","","49.619","1","58.928","RERUN 1","49.258","1","49.351",""
"Adam","Mehl","","74","1990 Mazda Miata","Z-STS","48.903","39.611","2","12","12","","50.697","","50.021","","55.263","","50.251","","53.454","1","48.903",""
"Enderson","Moua","","102","1991 Honda Civic SI","STR","48.936","40.274","1","21","13","","51.499","3","51.649","2","49.988","","51.236","1","48.936","","49.407","1"
"Ivan","Austin","","73","2004 Toyota MR2","P-ES","48.962","38.533","1","1","14","","50.128","3","48.805","1","49.239","","48.878","1","48.962","","54.19","1"
"David","Thompson","","152","2001 Honda S2000","P-STR","49.142","40.443","15","24","15","","51.474","","50.294","","49.732","","50.044","1","49.307","","49.142",""
"Andy","Weigel","184","184","1968 Ford Mustang","P-CAMT","49.203","39.706","10","13","16","","51.216","","50.761","","48.794","1","50.224","","49.213","","49.203",""
"Gordon","Kuhnley","","46","2000 Honda s2000","P-STR","49.212","40.501","16","26","17","","49.212","","49.22","1","48.394","1","48.838","1","48.609","2","48.647","2"
"Joe","Deleon","","350","2003 Nissan 350z","C2-SSM","49.251","42.897","4","55","18","","51.286","","49.978","1","49.51","","50.191","","49.587","","49.251",""
"Ryan","Butz","","208","2018 Exomotive Exocet","EM","49.389","44.153","1","76","19","","49.792","","49.389","","52.498","1","49.989","","48.227","1","51.161","1"
"Jeremy","Anderson","","429","2011 BMW M3","FS","49.425","39.391","1","8","20","","50.597","","50.116","DNF","49.425","","50.154","","49.611","1","49.937",""
"Daniel","Berge","","8","2015 Scion FR-S Orange","SSC","49.514","39.908","1","17","21","","51.525","1","49.548","1","49.514","","50.192","","49.732","1","49.501","1"
"Charles","D'Cruz","280","280","2017 Exomotive Exocet Blue","EM","49.605","44.346","2","82","22","","51.483","1","55.404","","59.316","","49.941","","49.985","","49.605",""
