"FirstName","LastName","MemberNumber","CarNumber","Car","Class","Best","Best Indexed","ClassRank","IndexRank","OverallRank","Rookie","Run 1","Run 1 Pen","Run 2","Run 2 Pen","Run 3","Run 3 Pen","Run 4","Run 4 Pen","Run 5","Run 5 Pen","Run 6","Run 6 Pen","Run 7","Run 7 Pen","Run 8","Run 8 Pen","Run 9","Run 9 Pen"
"Chris","Weiske","","134","2011 Subaru WRX STi","XA","32.693","27.592","1","6","1","","33.107","","33.205","","33.249","","33.243","","32.562","1","32.693","","32.853",""
"Joe","Deleon","","350","2003 Nissan 350z","XA","32.923","27.787","2","10","2","","34.325","","33.466","","33.101","","33.412","","33.896","","33.29","","32.923",""
"Ryan","Thompson","","34","2011 Subaru STiiiiiiiiiiiiiiiiiiiiiii","XA","33.004","27.855","3","14","3","","34.268","","34.49","","34.6","","33.54","","33.814","","33.769","","33.004",""
"Robin","Newborg","","79","2024 Honda Civic Type R","P-BS","33.292","27.232","1","2","4","","34.774","","35.513","2","34.761","","34.147","","33.867","","33.149","1","33.292",""
"Brandon","Cottrell","","403","2021 Toyota Supra","XA","33.306","28.110","4","21","5","","33.53","","33.58","","33.699","","33.504","","33.627","","33.306","","33.473",""
"Adam","Barber","","1","1988 Honda CRX","P-STS","33.511","27.344","3","4","6","","34.358","","34.08","1","34.129","","33.616","","33.723","","33.511","","33.595",""
"Ross","Jacobs","","311","2017 Ford Focus RS","Z-DS","33.540","27.167","1","1","7","","34.732","","34.075","","33.764","","33.775","","33.659","","33.88","","33.54",""
"Jeremy","Anderson","","774","2017 Chevrolet Camaro","CAMC","33.626","27.775","1","9","8","","34.929","","34.725","1","34.495","","33.626","","33.979","","34.143","1","33.65",""
"Sean","Wilke","","556","2022 Toyota GR86","XA","33.861","28.578","5","35","9","","35.039","1","34.57","","33.861","","34.139","1","34.053","","34.009","","33.87",""
"Mark","Maenpaa","","172","2018 Subaru Wrx","XA","33.946","28.650","6","38","10","","36.043","","35.563","","35.009","","34.458","","33.946","","34.025","","34.84",""
"Quincy","Tambo","","927","2021 BMW M2C","Consolidated-BS","34.045","27.848","1","13","11","","36.078","DNF","29.557","RERUN","35.112","","34.286","","34.85","","34.571","","34.071","","34.045",""
"Nathan","Thalhuber","","711","1991 Toyota MR2","XA","34.131","28.806","7","41","12","","45.197","DNF","34.441","","34.296","","35.285","1","34.32","","34.385","","34.131",""
"Bernie","Kaeferlein","","421","2022 Toyota GR86","P-DS","34.139","27.652","4","7","13","","34.943","","40.176","RERUN 4","34.567","","34.412","","34.673","1","34.233","","34.139","","34.295",""
"Michael","Waich","","175"," Ford Mustang","P-CAMT","34.221","28.061","7","18","14","","35.242","RERUN","35.607","","34.839","","23.768","RERUN 2","34.221","","34.278","","34.725","","38.426","2","34.289","1"
"Jon","Stef","","805","2011 Subaru WRX","STH","34.290","27.843","1","12","15","","36.454","","35.979","DNF","35.575","","34.786","","34.869","","34.29","","34.469",""
"Tyler","Salminen","","68","2015 Scion Fr-s","P-STX","34.340","28.124","8","22","16","","35.621","1","34.923","","35.054","2","34.529","","34.817","1","34.239","1","34.34",""
"Gavyn","Gill","","223","2019 Mazda Miata","STR","34.360","28.587","1","36","17","","36.763","","35.866","","34.952","","34.964","","35.209","","35.142","","34.36",""
"Nicholas","Bedell","","62","2013 Scion Frs","P-SSC","34.416","27.704","5","8","18","","35.699","","34.636","","34.522","","34.416","","34.322","1","34.514","1","34.418",""
"Vong","Moua","","779","2013 Subaru BRZ","Z-STX","34.445","28.210","5","26","19","","36.28","","34.944","","34.872","","35.204","","34.445","","34.781","","34.502",""
"Jake","Rogers","","25","1999 Mazda Miata","P-ES","34.473","27.302","2","3","20","","36.117","RERUN","36.358","","36.856","","35.641","","35.773","","35.119","","35.523","","34.473",""
"Chris","Lottes","","713","2022 Mazda MX-5 Club","CS","34.475","28.028","1","17","21","","36.081","","35.168","","34.475","","34.67","","34.599","1","34.349","1","34.391","1"
"John","Mensch","","58","1988 Honda CRX","P-STS","34.525","28.172","10","25","22","","37.335","","35.539","","35.05","","34.841","","34.534","","34.916","","34.525",""
"Patrick","Malzahn","","745","2017 Honda Civic Type-R","Z-DS","34.530","27.969","2","15","23","","36.652","","36.196","","34.849","","35.457","","34.78","","34.53","","34.54",""
"Alan","Yau","","127","2023 Toyota GR86","Z-DS","34.553","27.987","3","16","24","","37.485","","35.803","","35.196","","35.598","","35.142","1","34.553","","34.991",""
"Mitchell","Welker","","76","1999 Mazda Miata","ES","34.651","27.443","1","5","25","","38.72","","35.561","","35.093","1","35.111","","34.953","","34.651","","34.906",""
"Tim","Malzahn","","475","2017 Honda Civic Type-R","Z-DS","34.702","28.108","4","20","26","","37.456","DNF","35.345","","34.868","","35.224","","34.702","","35.11","","34.724",""
"Josh","Howard","","610","2015 Ford Mustang","CAMC","34.736","28.691","2","40","27","","37.012","","35.592","","36.395","","35.126","1","35.117","","34.736","","34.269","1"
"Peter","Nolden","","726","2020 Mazda MX-5 Club","CS","34.765","28.263","2","28","28","","36.344","","35.202","","34.765","","35.625","","35.08","","35.394","","40.984","DNF"
"Ian","Schmitz","","47","2022 Hyundai Veloster N","DS","34.772","28.165","1","24","29","","35.897","","35.583","1","43.58","RERUN","34.772","","35.343","","35.168","","35.21","1"
"Jacob","Witt","522450","78","1992 Mazda Miata","P-STS","34.842","28.431","11","33","30","","37.283","","35.733","","36.029","","35.134","","34.983","","35.069","","34.842",""
"Rick","Sellner","","427","2016 Chevrolet corvette z07","Consolidated-SS","34.884","29.128","2","46","31","","38.05","","35.542","","35.761","1","35.586","1","35.525","","34.884","","34.957",""
"Matthew","Sebelski","","182"," Volkswagen Hertz Rental Car","P-GS","34.976","27.840","6","11","32","","36.486","","35.737","2","36.777","","35.596","1","35.476","","35.746","","34.976",""
"Lyndrell","Novotny","","430","2018 Chevrolet Camaro","CAMC","34.983","28.895","3","43","33","","36.928","RERUN","36.9","","35.553","","35.768","","35.348","","35.114","","35.276","","34.983",""
"Jashua","Rodriguez","","93","1990 Mazda Miata","P-STS","35.047","28.598","12","37","34","","36.909","","36.064","","35.448","","35.373","","35.047","","35.852","1","35.476",""
"Peter","Hsu","","8","2019 Honda Type R","Z-DS","35.053","28.392","8","32","35","","36.091","","35.398","","35.499","","35.775","","35.142","","35.222","","35.053",""
"Koun","Phah Moua","","37","2017 Volkswagen GTI","STH","35.065","28.472","2","34","36","","39.363","","37.738","","36.51","","36.054","","35.065","","35.166","","35.713","1"
"Chase","Malkow","","358","2005 Nissan 350z","STU","35.112","29.248","1","49","37","","39.392","","37.18","","35.739","","36.685","","35.825","","35.93","","35.112",""
"Anthony","Onceler","","74","2017 Chevrolet Camaro","CAMC","35.139","29.024","4","45","38","","39.638","","37.803","RERUN","36.441","","36.864","1","36.492","1","35.936","1","35.519","1","35.139",""
"Steve","Garnjobst","","75","1998 Ford Mustang GT","P-CAMT","35.182","28.849","13","42","39","","36.686","","36.31","","35.182","","35.335","","35.704","","35.527","1","35.638",""
"David","Parsons","","15","1993 Mazda Miata","XB","35.311","29.979","1","64","40","","37.309","","36.051","","36.216","","36.49","","35.311","","35.549","","35.647",""
"Kevin","Berndt","","828","2018 Volkswagen GTI","P-GS","35.334","28.125","9","23","41","","37.295","RERUN","36.241","","36.808","","36.027","1","36.001","","35.334","","35.962",""
"Daniel","Personius","","500"," BMW 318ti","XA","35.441","29.912","8","61","42","","37.266","","36.596","","36.082","","35.807","","36.093","","35.441","","35.876",""
"Alan","Millard","","40","2003 Toyota MR-2 Spyder","ES","35.472","28.093","2","19","43","","36.332","","36.068","1","35.657","","35.816","","35.472","","35.369","1","35.486","1"
"Terry","Schuster","","165","2003 Nissan 350z","XA","35.509","29.969","9","63","44","","54.744","DNF","36.037","","36.849","1","37.58","1","36.472","","35.763","","35.509",""
"Thomas","Braun","","159","2004 Mazda Mazdaspeed Miata","STU","35.510","29.579","2","54","45","","37.3","","36.274","","35.118","DNF","36.571","","35.51","","36.181","1","36.338",""
"Claudio","Pietrobelli","","106","1993 Mazda Miata","XB","35.613","30.235","2","72","46","","37.287","","36.309","","35.913","","36.125","","35.613","","35.892","","35.952",""
"Jason","Grant","","748","1990 Chevrolet Corvette","CAMS","35.652","30.232","1","71","47","","41.438","","38.654","RERUN","36.38","","36.876","","37.341","","35.652","","36.8","","35.951",""
"Kyle","Greene","","77","1999 Mazda Miata","Z-ES","35.661","28.243","6","27","48","","36.642","","36.406","","36.071","","36.17","","35.661","","35.817","","35.823",""
"Harold","Kachelmyer","","948"," Forsche 944","XA","35.669","30.104","10","66","49","","37.969","","37.5","","36.023","","36.852","","35.952","1","38.323","1","35.669",""
"Randy","Williams","","97","2002 Toyota mr 2","ES","35.720","28.290","3","29","50","","35.622","DNF","35.922","","35.836","","36.2","","35.853","","35.72","","36.296",""
"Brandon","Rowlett","","406","2016 Mazda MX-5","STR","35.721","29.719","2","57","51","","39.477","","37.09","","36.11","","36.436","","35.919","","35.721","","35.79",""
"Ron","Schwanz","","48","1990 Mazda Miata","P-STS","35.745","29.167","14","47","52","","38.502","","37.681","","37.317","","36.192","","36.263","","35.913","","35.745",""
"Kurt","Kloss","","719","2008 Infiniti M45x","XA","35.773","30.192","11","69","53","","38.821","","37.337","","36.116","","36.004","","36.11","","35.904","","35.773",""
"Lucas","Reller","","71","1999 Mazda Miata","ES","35.779","28.336","4","31","54","","38.162","RERUN 2","37.517","1","36.399","1","35.779","","37.142","","36.027","","35.92","","36.163","1"
"Kerry","Anderson","","5","1988 Honda CRX","P-STS","35.811","29.221","15","48","55","","42.121","","40.655","","38.531","","38.771","","37.119","","35.811","","35.508","1"
