"FirstName","LastName","MemberNumber","CarNumber","Car","Class","Best","Best Indexed","ClassRank","IndexRank","OverallRank","Rookie","Run 1","Run 1 Pen","Run 2","Run 2 Pen","Run 3","Run 3 Pen","Run 4","Run 4 Pen","Run 5","Run 5 Pen","Run 6","Run 6 Pen","Run 7","Run 7 Pen"
"Chris","Weiske","","134","2011 Subaru Subauwu Impweza REX TI","XA","29.979","25.302","1","4","1","","30.67","1","30.241","2","30.294","","30.322","1","30.003","","29.979",""
"Ryan","Thompson","","34","2011 Subaru WRX STI Silver","XA","30.338","25.605","2","6","2","","30.962","","30.338","","30.458","","30.472","","30.306","1","30.05","1"
"Brandon","Cottrell","","403","2021 Toyota Supra","XA","30.836","26.025","3","15","3","","33.151","","33.297","DNF","31.619","","31.351","","31.133","","30.836",""
"Matthew","Sebelski","","21","2001 Chevrolet Corvette Z06","CAMS","30.996","26.284","1","21","4","","30.996","","31.042","","31.178","1","34.071","","33.354","","32.853","1"
"Mitchell","Welker","","121","2001 Chevrolet Corvette","CAMS","31.065","26.343","2","22","5","","31.68","","31.065","","30.656","1","32.696","1","31.931","","31.615",""
"Jake","Rogers","","25","1999 Mazda Miata","P-ES","31.569","25.002","1","1","6","","33.007","","33.384","1","31.886","","31.684","","31.569","","31.938",""
"Neal","Tovsen","","115","1988 Honda CRX","Z-STS","31.572","25.762","1","8","7","","34.453","","32.329","","31.662","","51.583","","31.572","","31.594","1"
"Adam","Barber","","1","1999 Mazda Miata","P-ES","31.654","25.069","2","2","8","","33.685","","32.792","","32.225","","39.182","","31.88","","31.654",""
"Tyler","Salminen","","433","2021 Toyota Supra","P-XA","31.688","26.744","9","30","9","","33.317","","33.242","","32.946","","39.872","","31.688","","31.805",""
"John","Mensch","","58","1988 Honda CRX","P-STS","31.721","25.884","6","12","10","","34.859","DNF","41.791","RERUN","31.721","","31.253","1","32.02","","31.799","","31.453","1"
"Alan","Millard","","40","2003 Toyota MR-2 Spyder","ES","31.728","25.128","1","3","11","","33.365","","32.336","","32.482","","35.636","RERUN","31.728","","32.626","1","32.39",""
"Peter","Hsu","","8","2019 Honda Type R","Z-DS","31.904","25.842","2","10","12","","33.12","","32.472","","32.274","","32.165","","31.904","","32.995",""
"Joe","Deleon","","350","2003 Nissan 350z Violet silver","XA","31.954","26.969","4","33","13","","32.647","","31.954","","32.691","1","32.258","","31.813","1","32.025",""
