"FirstName","LastName","MemberNumber","CarNumber","Car","Class","Best","Best Indexed","ClassRank","IndexRank","OverallRank","Rookie","Run 1","Run 1 Pen","Run 2","Run 2 Pen","Run 3","Run 3 Pen","Run 4","Run 4 Pen","Run 5","Run 5 Pen","Run 6","Run 6 Pen","Run 7","Run 7 Pen","Run 8","Run 8 Pen","Run 9","Run 9 Pen"
"Garrett","Taylor","","343","2008 Intrepid Kart Explorer","Consolidated-KM","32.265","30.232","2","41","1","","64.507","DNF","36.068","","34.504","","34.747","DNF","35.644","DNF","34.078","","32.697","","32.265",""
"Jeremy","Anderson","","780","2022 Exomotive Exocet","X","33.920","33.920","1","89","2","","35.505","1","34.484","","34.137","","34.439","","34.284","","33.92","","34.351","","33.933",""
"Brandon","Cottrell","","403","2021 Toyota Supra","XA","34.291","28.941","1","8","3","","35.757","","35.379","","34.949","","34.733","","34.291","","35.417","","34.818","","35.148",""
"Matthew","Sebelski","","21","2001 Chevrolet Corvette Z06","CAMS","34.410","29.179","1","11","4","","34.945","","35.118","","34.41","","34.661","","34.931","","35.65","","35.104","","34.176","1"
"Chris","Weiske","","134","2011 Subaru WRX STi","XA","34.721","29.304","2","14","5","","36.044","1","36.173","1","35.401","","35.351","","34.76","","35.199","","34.845","","34.721",""
"Ryan","Thompson","","34","2011 Subaru STiiiiiiiiiiiiiiiiiiiiiii","XA","34.959","29.505","3","19","6","","37.776","","35.866","","35.619","","35.729","","35.499","","34.959","","35.03","","35.112",""
"Joe","Deleon","","350","2003 Nissan 350z","XA","34.994","29.534","4","20","7","","35.518","","35.891","","35.27","","35.292","","36.074","","34.994","","35.366","","35.029",""
"Piero","Pucci","","518","2004 Mitsubishi Evolution 8","XA","35.060","29.590","5","23","8","","37.646","","37.85","","35.796","","35.443","","36.17","","35.527","","35.263","","35.06",""
"Mark","Maenpaa","","172","2018 Subaru Wrx","XA","35.155","29.670","6","25","9","","36.159","","35.679","","35.823","","36.334","","35.663","","35.841","1","35.695","","35.155",""
"Adam","Barber","","1","1988 Honda CRX","P-STS","35.234","28.750","1","3","10","","35.413","","35.669","","35.672","","35.536","","35.33","1","35.269","","35.237","","35.234",""
"Robin","Newborg","","79","2024 Honda Civic Type R","P-BS","35.280","28.859","3","6","11","","36.75","","35.763","","35.961","","35.287","","35.61","","35.28","","41.274","RERUN","35.8","","35.689",""
"Nathan","Thalhuber","","711","1991 Toyota MR2","XA","35.367","29.849","7","29","12","","37.093","","35.984","","47.24","RERUN","36.037","","35.764","","35.842","","35.367","","35.477","","35.387",""
"Tyler","Salminen","","68","2015 Scion Fr-s","P-STX","35.436","29.022","4","9","13","","36.304","2","36.859","1","35.75","","35.56","","35.436","","38.554","","35.518","","35.559","2"
"Kyle","Greene","","77","2018 Honda Civic Type R","Z-DS","35.491","28.747","1","2","14","","36.384","","36.52","2","36.41","1","35.491","","36.388","","35.714","1","35.657","","36.033","1"
"Ross","Jacobs","","311","2017 Ford Focus RS","Z-DS","35.621","28.853","2","5","15","","36.107","","35.784","","35.801","","35.874","","35.649","","35.621","","35.647","","36.052",""
"Sean","Wilke","","556","2022 Toyota GR86","XA","35.683","30.116","8","36","16","","37.576","","36.867","","35.844","","36.027","","43.811","RERUN","35.85","","35.863","","35.809","","35.683",""
"Chris","Lottes","","713","2022 Mazda MX-5 Club","CS","35.867","29.159","1","10","17","","37.613","","36.797","","36.632","1","36.254","","36.548","","36.172","1","36.173","","35.867",""
"Mitch","Welker","","76","1999 Maza Miata","ES","35.924","28.451","1","1","18","","36.769","","36.586","","36.25","","36.405","","35.924","","36.231","","38.221","1","36.679",""
"Chase","Malkow","","358","2005 Nissan 350z","Consolidated-STU","35.929","29.928","1","30","19","","37.21","","36.746","","36.925","","36.411","","37.02","1","36.619","","35.949","","35.929",""
"Alex","McCleskey","","969","2007 Chevrolet Corvette","CAMS","36.121","30.630","2","51","20","","38.506","","37.769","","36.196","","36.121","","36.472","","39.737","DNF","36.71","","36.744",""
"Bernie","Kaeferlein","","421","2022 Toyota GR86","P-DS","36.137","29.270","5","13","21","","37.485","1","36.564","1","36.236","","36.383","","36.446","","36.137","","36.443","","46.707",""
"Gopihath","Ramchand","","360","2002 Honda S2000","XA","36.188","30.542","9","47","22","","38.21","1","37.903","DNF","37.449","","36.188","","36.53","","36.617","","36.47","2","37.099","1"
