"FirstName","LastName","MemberNumber","CarNumber","Car","Class","Best","Best Indexed","ClassRank","IndexRank","OverallRank","Rookie","Run 1","Run 1 Pen","Run 2","Run 2 Pen","Run 3","Run 3 Pen","Run 4","Run 4 Pen","Run 5","Run 5 Pen","Run 6","Run 6 Pen","Run 7","Run 7 Pen","Run 8","Run 8 Pen"
"Mitchell","Welker","","177","2001 Chevrolet Corvette","Trackcross B","58.558","58.558","1","1","1","","62.329","","59.943","","59.323","","58.932","","60.099","","58.835","","58.558",""
"Matthew","Sebelski","","77","2001 Chevrolet Corvette Z06","Trackcross B","59.832","59.832","2","2","2","","65.585","","60.823","","60.542","","59.929","","61.392","","60.8","","59.832",""
"Joe","Deleon","","102"," Chevrolet Corvette Z06","Trackcross B","60.842","60.842","3","3","3","","63.839","","61.927","","73.743","DNF","60.842","","62.741","","76.156","","60.957",""
"Bryce","Allen","","19","2019 Porsche Cayman S","Trackcross C","61.897","61.897","1","4","4","","67.332","","63.717","","63.295","","61.897","","65.28","","62.432","","62.354",""
"Tyler","Salminen","","68","2015 Scion Fr-s","Trackcross E","62.137","62.137","1","5","5","","66.283","","63.786","","63.049","","63.089","","63.761","DNF","63.314","","62.137",""
"Koun","Phah Moua","","90","2017 Volkswagen GTI","Trackcross C","63.032","63.032","2","6","6","","65.87","","64.41","","64.409","","63.032","","63.964","","64.017","","63.294",""
"Sean","Wilke","","556"," GR86 ","Trackcross E","63.238","63.238","2","7","7","","66.119","","63.792","","63.238","","67.015","","63.952","","63.379","","63.737",""
"Piero","Pucci","","518","2013 Scion Frs","Trackcross E","63.314","63.314","3","8","8","","66.526","","64.718","","63.842","","63.786","","64.039","","63.443","","63.314",""
"Robert","Sorensen","","100","2014 Ford Mustang","Trackcross B","63.669","63.669","4","9","9","","68.277","","65.338","","65.459","","77.946","","63.931","","63.773","","63.669",""
"Nathan","Li","","89","2024 Acura Integra Type S","Trackcross D","63.778","63.778","1","10","10","","88.952","DNF","67.959","","65.043","","64.113","","67.501","","63.883","","63.778",""
"Leigh","Collyer","HDC03206452","84","2013 Subaru Impreza WRX","Trackcross C","63.806","63.806","3","11","11","","66.972","","65.008","","130.919","RERUN","63.938","","63.806","","64.429","","65.077","","63.964",""
"Jon","Stef","","805","2011 Subaru WRX","Trackcross D","63.914","63.914","2","12","12","","67.007","","64.269","","64.284","","63.914","","69.014","","64.516","","64.278",""
"Tyler","Mack","","133","2012 Chevrolet Corvette","Trackcross C","63.999","63.999","4","13","13","","73.007","","68.396","","67.03","","64.934","","67.199","","63.999","","64.409",""
"Lyndrell","Novotny","","430","2018 Chevrolet Camaro","Trackcross C","64.010","64.010","5","14","14","","65.392","","64.01","","64.322","","65.575","","66.014","","64.977","","64.437",""
"Derek","Stinton","","107","2004 Chevrolet Corvette Z06","Trackcross B","64.133","64.132","5","15","15","","66.493","","65.891","","64.716","","64.413","","65.591","","65.367","","64.133",""
"Jake","Algren","","141","2011 Honda Civic Si","Trackcross E","64.282","64.282","4","16","16","","70.488","","66.72","","65.711","","64.635","","65.312","","65.108","","64.282",""
"Randy","Ramchand","","818","2003 Subaru Fr-s","Trackcross E","64.454","64.453","5","17","17","","71.646","","68.661","","65.9","","66.014","","65.318","","66.103","","64.454",""
"Max","Otzenberger","","96","1998 Chevrolet Corvette","Trackcross C","64.579","64.578","6","18","18","","72.406","","68.086","","70.078","DNF","68.612","","66.119","","65.62","","64.579",""
"Bernie","Kaeferlein","","421","2022 Toyota GR86","Trackcross E","64.947","64.947","6","19","19","","68.802","","64.947","","72.792",""
"Jon","Miska","","11","2006 BMW 330i","Trackcross E","65.038","65.038","7","20","20","","66.999","","66.521","","66.91","","65.038","","66.865","","65.649","","65.756",""
"Joe","Sexton","","204","2002 BMW M3","Trackcross C","65.103","65.102","7","21","21","","67.739","","66.113","","65.509","","65.247","","66.104","","65.331","","65.103",""
"Bryan","Ganz","","791","2002 Chevrolet Corvette Z06","Trackcross C","65.108","65.108","8","22","22","","69.036","","66.391","","66.842","","65.882","","66.416","","66.136","","65.108",""
"Thomas","Braun","","159","2004 Mazda Mazdaspeed Miata","Trackcross F","65.200","65.200","1","23","23","","69.938","","67.329","","67.485","","65.791","","66.224","","65.959","","65.2",""
"Anthony","Wolfe","","227","2002 Chevrolet Corvette Zo6","Trackcross C","65.289","65.289","9","24","24","","73.612","","68.44","","66.147","","66.289","","67.013","","65.804","","65.289",""
"Nathan","Salden","","45","2004 Ford Mustang","Trackcross D","65.499","65.498","3","25","25","","67.308","","66.195","","65.499","","66.186","","67","","66.597","","66.149",""
"Adam","Schmaltz","","36","2014 Ford Focus","Trackcross E","65.528","65.528","8","26","26","","70.481","","67.864","","66.797","","65.528","","66.426","","66.149","","66.593",""
"Lucas","Reller","","71","2012 Mazda Miata","Trackcross F","66.242","66.242","2","27","27","","73.125","","71.926","","69.392","","68.42","","67.172","","68.201","","66.242",""
"Owen","Boyle","","992","2017 Volkswagen Golf GTI","Trackcross F","66.375","66.375","3","28","28","","70.429","","69.198","","70.502","","68.611","","68.072","","67.082","","66.375",""
"Carter","Smith","","722","2004 Mazda Rx8","Trackcross E","66.414","66.414","9","29","29","","70.766","","67.391","","69.104","","68.211","","69.658","","68.318","","66.414",""
"Jeremy","Poissant","70","70","1970 Chevrolet Camaro","Trackcross C","66.436","66.436","10","30","30","","68.094","","66.436","","66.591","","67.862","","67.308","","68.506","","67.338",""
"Daniel","Personius","","500","1997 BMW 318ti","Trackcross F","66.590","66.590","4","31","31","","70.184","","68.674","","66.743","","67.42","","66.722","","66.938","","66.59",""
"Daniel","Larson","","555","2007 Ford Mustang GT","Trackcross D","66.642","66.642","4","32","32","","70.488","","69.209","","67.803","","67.548","","68.724","","67.372","","66.642",""
"Charles","D'Cruz","","280","2017 Exomotive Exocet","Trackcross D","66.776","66.776","5","33","33","","72.478","","69.301","","67.759","","66.776","","67.236","","84.031","DNF","67.342",""
"Nicholas","Lemerond","","38","2019 Honda Civic Type R","Trackcross D","66.811","66.811","6","34","34","","73.152","","70.019","","68.309","","74.185","DNF","68.703","","67.864","","66.811",""
"Cory","Smith","","122","2004 Mazda RX-8","Trackcross E","67.158","67.158","10","35","35","","69.303","","67.565","","75.419","","67.48","","68.331","","67.158","","71.448",""
"Brandon","Rhoades","","50","1994 Chevrolet Camero","Trackcross D","67.286","67.286","7","36","36","","73.644","","70.334","","69.509","","68.148","","70.902","","67.601","","67.286",""
"Randy","Cameron","","302","2012 Ford Mustang Boss 302","Trackcross C","67.362","67.362","11","37","37","","70.38","","69.843","","68.739","","67.362","","68.339","","68.095","","68.577",""
"Rixin","Zhao","","189","2024 Acura Integra","Trackcross D","67.948","67.948","8","38","38","","71.268","","69.447","","70.507","","68.166","","67.948","","69.062","","68.685",""
"Jeff","Lawrence","193","193","2002 Chevrolet Corvette Z06","Trackcross C","67.986","67.986","12","39","39","","71.244","","69.709","","70.368","","67.986","","69.052","","68.577","","69.657",""
"Max","Strege","","777","2017 Volkswagen Golf R","Trackcross C","68.051","68.051","13","40","40","","77.277","","73.817","","70.744","","70.036","","70.328","","69.629","","68.051",""
"Blake","Wilson","","786","2020 Mazda MX-5 RF GT","Trackcross F","68.064","68.064","5","41","41","","70.306","","68.572","","68.567","","68.064","","69.934","","68.965","","71.999",""
"Matt","Sweet","","40","2005 Subaru WRX STi","Trackcross D","68.094","68.094","9","42","42","","74.117","","68.187","","68.682","","68.094","","68.959","","69.089","","68.398",""
"Courtney","Sampson","","315","2015 Dodge Challenger hellcat","Trackcross C","68.157","68.157","14","43","43","","70.107","RERUN","68.157","","70.089","","68.885",""
"Pheng","Her","","525","2023 Subaru BRZ","Trackcross E","68.215","68.215","11","44","44","","73.689","","69.729","","70.038","","70.088","","68.659","","70.769","","68.215",""
"Clay","McCarthy","","222","2016 Mazda MX5","Trackcross G","68.498","68.498","1","45","45","","75.28","","70.925","","69.787","","69.693","","71.065","","69.529","","68.498",""
"Sou","Vang","","9","2013 Mazda Miata","Trackcross F","68.690","68.690","6","46","46","","74.109","","71.339","","70.842","","71.035","","68.979","","68.743","","68.69",""
"Joe","MacDonald","","448","2005 Mini cooper S","Trackcross E","68.707","68.707","12","47","47","","71.279","","70.238","","70.557","","69.271","","69.517","","68.707","","68.864",""
"Brooks","Letourneau","","7","2006 BMW 330i","Trackcross E","69.100","69.100","13","48","48","","77.002","","75.011","","73.148","","71.019","","71.03","","69.1","","69.253",""
