"FirstName","LastName","MemberNumber","CarNumber","Car","Class","Best","Best Indexed","ClassRank","IndexRank","OverallRank","Rookie","Run 1","Run 1 Pen","Run 2","Run 2 Pen","Run 3","Run 3 Pen","Run 4","Run 4 Pen","Run 5","Run 5 Pen","Run 6","Run 6 Pen","Run 7","Run 7 Pen","Run 8","Run 8 Pen"
"Peter","Hsu","","45","2019 Honda Type R","Z-DS","37.931","30.648","10","29","31","","41.329","","43.711","1","39.929","1","39.151","1","38.62","","39.506","1","37.931",""
"Chris","Medower","","117"," Mazda Miata","Z-STS","38.031","30.957","12","32","32","","40.742","","40.056","","41.834","","38.576","","37.6","RERUN","38.358","","38.911","1","38.031",""
"Kyle","Greene","","99","1999 Mazda Miata","Z-DS","38.056","30.749","11","30","33","","41.688","","39.381","","38.385","","39.236","","38.427","","38.374","","38.056",""
"Ryan","Etheridge","","212","2003 Chevrolet Corvette Z06","CAMS","38.107","32.200","1","47","34","","40.684","","39.879","","46.32","DNF","39.32","","38.53","","38.597","","38.107",""
"Sean","Wilke","","556","2005 Subaru Forester Black","XA","38.262","32.216","7","48","35","","40.502","","39.249","1","38.262","","51.661","DNF","38.5","","38.401","","38.409","1"
"Alan","Millard","","40","2003 Toyota MR-2 Spyder","P-ES","38.289","30.324","12","21","36","","39.507","","38.743","","38.289","","38.821","1","38.724","1","38.843","","38.341",""
"Max","Currie","","788","1980 Porsche 911sc","V","38.297","38.297","2","89","37","","41.241","","40.713","","39.5","","40.07","","39.058","","38.297","","39.197","1"
"Steve","Meschke","","31"," Ford Miata","P-XB","38.323","32.497","16","52","38","","42.665","","40.834","","40.12","","39.696","","40.259","","38.323","","39.934",""
"Jon","Stef","","805","2011 Subaru WRX","STH","38.420","31.197","1","36","39","","43.392","","42.226","","41.245","","39.647","","39.989","1","38.42","","38.813",""
"Ron","Schwanz","","48","1990 Mazda Miata","Z-STS","38.433","31.284","15","37","40","","39.465","","38.99","","40.196","1","39.133","","38.983","1","38.042","3","38.433",""
"Lyndrell","Novotny","","430","2018 Chevrolet Camaro","CAMC","38.456","31.803","1","41","41","","42.599","","39.933","2","40.057","","39.834","","39.195","1","39.103","","38.456",""
