"FirstName","LastName","MemberNumber","CarNumber","Car","Class","Best","Best Indexed","ClassRank","IndexRank","OverallRank","Rookie","Run 1","Run 1 Pen","Run 2","Run 2 Pen","Run 3","Run 3 Pen","Run 4","Run 4 Pen","Run 5","Run 5 Pen","Run 6","Run 6 Pen","Run 7","Run 7 Pen","Run 8","Run 8 Pen"
"Brandon","Ranvek","","887","2006 Mitsubishi Evo RS (white)","P-SM","68.704","59.635","7","9","1","","69.686","RERUN 1","68.704","","67.705","4","67.237","4"
"Adam","Barber","","1","1988 Honda CRX Si","P-STS","70.479","57.299","1","1","2","","72.299","","71.081","","70.408","2","69.821","DNF","70.479","","70.538",""
"Jake","Rogers","","990","1990 Mazda Mx-5 Miata","P-STS","71.146","57.841","2","2","3","","71.41","1","71.146","","69.846","3","70.935","2","71.648","3","71.648",""
"Jeremy","Swenson","","227","2022 Tesla Model 3","C1-SS","71.754","59.555","1","8","4","","71.609","1","71.992","3","69.992","3","70.717","3","70.87","1","71.754",""
"Mitchell","Welker","","76","1990 Mazda Miata","P-STS","72.026","58.557","3","3","5","","72.694","","72.026","","81.704","DNF","74.967","DNF","71.756","2","72.673",""
"Eric","Janssen","","320","1999 Honda Miata","P-XB","72.139","61.390","12","19","6","","85.061","RERUN","72.823","3","72.664","1","72.002","8","74.384","","74.328","DNF","72.139",""
"Derek","Kiefer","","69","1969 Chevrolet Chevelle","CAMT","72.252","58.957","1","4","7","","72.96","3","72.252","","72.262","1","72.69","","72.102","1","72.647",""
"John","Mensch","","58","1999 Mazda Miata","P-XB","72.511","61.706","13","24","8","","75.402","DNF","73.39","1","72.511","","73.222","1","72.453","1","71.968","1"
"Matthew","Waich","","752"," Honda Civicsi","P-STS","72.784","59.173","4","5","9","","77.354","DNF","74.322","5","74.035","3","75.117","DNF","74.259","1","72.784",""
"Joe","Deleon","","350","2003 Nissan 350z","XA","73.092","61.543","1","21","10","","74.42","","73.008","DNF","73.465","","74.047","","73.805","","73.092",""
"Bernie","Kaeferlein","","421","2016 Scion FR-S","P-STX","73.340","59.918","9","11","11","","73.885","","74.159","","73.34","","73.607","","74.278","","75.956",""
"Shawn","Krebsbach","","214","2011 BMW 128i","P-STX","73.517","60.063","10","12","12","","78.837","RERUN","74.929","1","75.328","","73.517","","74.902","1","74.169","","73.521","1"
"Jeremy","Fohrenkamm","","976","1976 Triumph Spitfire","C2-EM","73.633","66.932","3","75","13","","80.403","DNF","76.706","","75.294","1","74.754","","73.754","","73.633",""
"Tony","Starks","","309","2004 Acura TL","XA","73.721","62.073","2","27","14","","76.337","","74.154","2","73.721","","74.563","1","74.354","","81.464","RERUN","74.717","1"
"Nathan","Thalhuber","","711","1991 Toyota MR2","XA","74.048","62.348","3","31","15","","76.9","1","75.133","1","73.714","2","74.048","","74.109","1","74.915","1"
"Michael","Waich","","527","1989 Honda Civic Si","P-STS","74.180","60.308","11","13","16","","76.457","1","74.18","","74.786","1","75.542","","74.21","","74.203",""
"Steve","Garnjobst","","75","2016 Volkswagen GTI","Z-STH","74.497","60.491","1","14","17","","75.98","","76.034","","74.497","","75.426","2","76.242","1","76.091","1"
"Robin","Newborg","","79","2022 Volkswagen Golf GTI","P-GS","74.801","59.391","5","6","18","","75.976","","77.119","","76.853","","75.979","","75.258","1","74.801",""
"Dave","Farrell","","20","2006 Lotus Elise","Z-AS","74.912","61.502","4","20","19","","78.021","","75.551","","74.21","1","75.39","","74.912","","75.308",""
