"FirstName","LastName","MemberNumber","CarNumber","Car","Class","Best","Best Indexed","ClassRank","IndexRank","OverallRank","Rookie","Run 1","Run 1 Pen","Run 2","Run 2 Pen","Run 3","Run 3 Pen","Run 4","Run 4 Pen","Run 5","Run 5 Pen","Run 6","Run 6 Pen","Run 7","Run 7 Pen","Run 8","Run 8 Pen","Run 9","Run 9 Pen"
"Brian","Ksicinski","","66","1999 Mazda Miata","P-ES","33.796","26.766","12","14","29","","34.399","","34.274","","34.16","","34.062","","33.941","","33.796","","34.038","","33.985",""
"Michael","Russell","","87","1996 BMW M3","STR","33.846","28.024","1","36","30","","44.939","DNF","36.007","","35.357","","35.261","","34.678","","34.052","","34.146","","33.846",""
"Lucas","Reller","","717","2021 Hyundai Veloster N","Z-DS","33.868","27.331","4","20","31","","36.693","","36.219","","34.909","","35.268","1","34.436","1","34.673","","33.868","","33.879",""
"Adam","Quimby","","656","2022 Toyota GR 86","DS","33.883","27.343","2","21","32","","38.641","1","34.619","","34.153","","33.883","","34.066","","33.923","","34.625","","34.276",""
"Chris","Tadevich","","799","2004 BMW 330Ci","C2-STX","33.888","27.686","1","29","33","","35.131","1","35.365","","34.835","","34.54","","34.406","","33.888","","34.194","","34.412",""
"Dave","Farrell","","20","2006 Lotus Elise","Z-AS","33.890","27.823","8","32","34","","35.287","","35.173","","34.848","","33.89","","34.839","","34.443","","34.45","","34.38",""
"Jeremy","Fohrenkamm","","976","2022 Polestar 2","C2-EV","33.949","28.347","2","42","35","","34.552","","34.555","","34.055","","34.584","","34.298","1","33.949","","34.214","","34.316",""
"Tara","Bros","","869","2018 Honda Civic Type R","DS","33.967","27.411","3","25","36","","34.623","","36.889","3","34.796","","34.017","2","35.793","","34.237","","34.06","","33.967",""
"Garrett","Taylor","","343","2016 Fiat Abarth","SMF","34.174","28.877","2","51","37","","35.917","1","35.44","","34.593","","34.605","","34.174",""
"Blake","Wilson","","678","2020 Mazda MX-5","CS","34.221","27.719","3","30","38","","36.5","","35.632","","35.393","","35.117","","34.293","","34.332","","34.861","","34.221",""
"Brandon","Cottrell","","403","2021 Toyota Supra","XA","34.229","28.820","2","49","39","","35.916","","70.366","","34.799","","34.866","","35.09","","34.984","","34.229","","34.559",""
"Paul","Schlosser","","218","2013 Ford mustang","CAMC","34.232","28.036","2","37","40","","36.037","","35.196","","34.485","","34.232","","35.952","1","34.639","","34.407","","33.97","1"
"Ron","Schwanz","","48","1990 Mazda Miata","Z-STS","34.237","27.834","9","33","41","","36.012","","34.931","","35.114","","34.685","","34.558","","34.237","","34.44","","34.646","DNF"
"Kyle","Greene","","99","1999 Mazda Miata","Z-ES","34.356","27.209","3","18","42","","35.963","","35.423","","35.259","","34.858","","35.252","","34.517","","34.364","","34.356",""
"Steven","Buetow","","17"," Lotus Elise","X","34.384","34.384","1","87","43","","42.664","","35.219","","35.54","","43.55","DNF","35.009","","35.164","","34.581","","34.384",""
"Mark","Gruetzman","460","460","1964 Ford Galaxie","CAMT","34.403","28.072","2","38","44","","37.031","","35.008","","34.535","","34.403","","34.619","","34.627",""
"Evan","Wright","","569","2017 Ford Focus ST","SMF","34.563","29.205","3","56","45","","36.271","","35.093","","35.382","","48.554","RERUN","34.688","","35.455","","34.971","","34.882","","34.563",""
"Harold","Kachelmyer","","948","1984 Porsche 944","XA","34.709","29.224","3","57","46","","37.363","","36.4","","36.105","","35.293","1","35.31","","35.106","","34.795","","34.709",""
"Randy","Cameron","","738","2012 Ford Mustang Boss 302","CAMC","34.729","28.443","3","45","47","","39.459","","35.825","","35.812","","35.136","","34.842","","35.185","","34.729","","34.818",""
"Hunter","Ahmann","","611","2012 Subaru Impreza WRX","STH","34.855","28.302","2","41","48","","37.993","","36.27","","35.574","","41.552","DNF","36.15","","34.855","","35.145","","35.119",""
"Philip","Ethier","","7","2005 Lotus Elise","X","34.858","34.858","2","88","49","","36.871","","36.355","","36.094","","35.611","","33.614","DNF","34.718","DNF","35.761","","34.858",""
"Dwight","Anderson","","843","2019 Ford Fiesta ST","Z-HS","35.034","27.536","6","28","50","","36.267","","35.608","","36.001","","35.488","","35.034","","35.067","","35.101","","35.239",""
"Zachary","Pursell","","110","2013 lotus Elise","Z-SSR","35.084","29.681","16","64","51","","36.746","","35.045","DNF","35.206","DNF","35.572","","35.084","","35.115","","35.121","1","35.448",""
"Jess","Meyer","","28","1980 Porsche 911","V","35.092","35.092","1","89","52","","36.111","","35.262","","36.084","","35.092","","35.801",""
"Koun","Phah Moua","","210","2017 Volkswagen GTI","STH","35.114","28.512","3","46","53","","36.614","","36.354","","35.729","","35.809","","36.012","","35.114","","35.746","","35.268",""
